Date : 2022-05-18 17:05:31
Directory : c:\Users\howel\Desktop\Final Capstone\WIP\capstone
Total : 212 files,  36105 codes, 441 comments, 1241 blanks, all 37787 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| JSON         |          3 |     28,718 |          0 |          3 |     28,721 |
| JavaScript   |         42 |      2,964 |        171 |        403 |      3,538 |
| Java         |         58 |      2,312 |        174 |        623 |      3,109 |
| XML          |         95 |      1,397 |          0 |          7 |      1,404 |
| CSS          |          3 |        388 |         12 |         58 |        458 |
| Markdown     |          3 |        145 |          0 |         84 |        229 |
| Batch        |          1 |         96 |         51 |         36 |        183 |
| SQL          |          3 |         40 |          7 |         19 |         66 |
| HTML         |          1 |         20 |         23 |          1 |         44 |
| Properties   |          2 |         19 |          2 |          6 |         27 |
| Shell Script |          1 |          6 |          1 |          1 |          8 |
+--------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                   |        212 |     36,105 |        441 |      1,241 |     37,787 |
| .idea                                                                                                                                               |         93 |      1,312 |          0 |          0 |      1,312 |
| .idea\libraries                                                                                                                                     |         85 |      1,105 |          0 |          0 |      1,105 |
| frontend                                                                                                                                            |         51 |     32,145 |        206 |        503 |     32,854 |
| frontend\public                                                                                                                                     |          2 |         45 |         23 |          2 |         70 |
| frontend\src                                                                                                                                        |         46 |      3,353 |        183 |        461 |      3,997 |
| frontend\src\Components                                                                                                                             |         19 |      1,810 |         79 |        207 |      2,096 |
| frontend\src\Components\Footer                                                                                                                      |          1 |         24 |          0 |          3 |         27 |
| frontend\src\Components\Header                                                                                                                      |          1 |         54 |          7 |         10 |         71 |
| frontend\src\Components\Home                                                                                                                        |          1 |         59 |          0 |          2 |         61 |
| frontend\src\Components\Login                                                                                                                       |          1 |         84 |          0 |         13 |         97 |
| frontend\src\Components\Main                                                                                                                        |          1 |        163 |         13 |         16 |        192 |
| frontend\src\Components\Pages                                                                                                                       |          8 |      1,214 |         57 |        135 |      1,406 |
| frontend\src\Components\Register                                                                                                                    |          1 |         81 |          0 |          7 |         88 |
| frontend\src\Components\SubComponents                                                                                                               |          4 |        109 |          2 |         20 |        131 |
| frontend\src\Components\SubComponents\Loader                                                                                                        |          2 |         39 |          0 |          4 |         43 |
| frontend\src\Components\WithRouer                                                                                                                   |          1 |         22 |          0 |          1 |         23 |
| frontend\src\Redux                                                                                                                                  |         18 |      1,125 |         85 |        183 |      1,393 |
| frontend\src\Shared                                                                                                                                 |          1 |          1 |          0 |          0 |          1 |
| java                                                                                                                                                |         67 |      2,645 |        235 |        735 |      3,615 |
| java\.mvn                                                                                                                                           |          2 |         78 |         31 |         13 |        122 |
| java\.mvn\wrapper                                                                                                                                   |          2 |         78 |         31 |         13 |        122 |
| java\database                                                                                                                                       |          4 |         46 |          8 |         20 |         74 |
| java\src                                                                                                                                            |         58 |      2,253 |        145 |        616 |      3,014 |
| java\src\main                                                                                                                                       |         55 |      2,192 |        133 |        593 |      2,918 |
| java\src\main\java                                                                                                                                  |         54 |      2,175 |        131 |        588 |      2,894 |
| java\src\main\java\com                                                                                                                              |         54 |      2,175 |        131 |        588 |      2,894 |
| java\src\main\java\com\techelevator                                                                                                                 |         54 |      2,175 |        131 |        588 |      2,894 |
| java\src\main\java\com\techelevator\controller                                                                                                      |          3 |        340 |         85 |         77 |        502 |
| java\src\main\java\com\techelevator\dao                                                                                                             |         16 |        667 |          5 |        189 |        861 |
| java\src\main\java\com\techelevator\message                                                                                                         |          1 |         13 |          0 |          1 |         14 |
| java\src\main\java\com\techelevator\model                                                                                                           |         22 |        759 |          3 |        225 |        987 |
| java\src\main\java\com\techelevator\security                                                                                                        |          9 |        307 |         30 |         90 |        427 |
| java\src\main\java\com\techelevator\security\jwt                                                                                                    |          3 |        150 |          4 |         37 |        191 |
| java\src\main\java\com\techelevator\service                                                                                                         |          2 |         70 |          0 |          2 |         72 |
| java\src\main\resources                                                                                                                             |          1 |         17 |          2 |          5 |         24 |
| java\src\test                                                                                                                                       |          3 |         61 |         12 |         23 |         96 |
| java\src\test\java                                                                                                                                  |          3 |         61 |         12 |         23 |         96 |
| java\src\test\java\com                                                                                                                              |          3 |         61 |         12 |         23 |         96 |
| java\src\test\java\com\techelevator                                                                                                                 |          3 |         61 |         12 |         23 |         96 |
| java\src\test\java\com\techelevator\dao                                                                                                             |          2 |         52 |         12 |         18 |         82 |
+-----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| filename                                                                                                                                            | language     | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\capstone.iml                                                                               | XML          |          9 |          0 |          0 |          9 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\compiler.xml                                                                               | XML          |         21 |          0 |          0 |         21 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\encodings.xml                                                                              | XML          |          7 |          0 |          0 |          7 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\jarRepositories.xml                                                                        | XML          |         20 |          0 |          0 |         20 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__ch_qos_logback_logback_classic_1_2_3.xml                                  | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__ch_qos_logback_logback_core_1_2_3.xml                                     | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__com_fasterxml_classmate_1_5_1.xml                                         | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__com_fasterxml_jackson_core_jackson_annotations_2_11_0.xml                 | XML          |         13 |          0 |          0 |         13 |
